,Bialystok,Bydgoszcz,Gdansk,Gorzow Wielkopolski,Katowice,Kielce,Krakow,Lublin,Lodz,Olsztyn,Opole,Poznan,Rzeszow,Szczecin,Torun,Warszawa,Wroclaw,Zielona Gora
Bialystok,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bydgoszcz,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Gdansk,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Gorzow Wielkopolski,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Katowice,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Kielce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Krakow,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Lublin,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Lodz,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
Olsztyn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Opole,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Poznan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Rzeszow,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Szczecin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torun,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Warszawa,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
Wroclaw,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Zielona Gora,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
