AAA_MIASTA_WOJ_16_CENTROIDY;XCOORD;YCOORD
Warszawa;636934,6908;488673,9518
Kraków;568269,4446;244380,129
Łódź;534607,6959;434253,2011
Wroclaw;362273,8352;360952,859
Poznań;360369,8202;506179,7021
Trójmiasto;477191,8579;721818,9471
Szczecin;206396,1648;626428,8305
Bydgoszcz;433831,2964;584487,1132
Toruń;473854,5599;574787,2951
Lublin;751637,2405;382121,4103
Bialystok;777895,6587;592771,1439
Silesia;501307,1477;264224,5583
Kielce;616832,694;334588,3728
Rzeszów;715197,466;247447,7857
Olsztyn;599624,0202;660339,8969
Gorzów Wielkopolski;244843,29;547345,13
Zielona Góra;261620,29;456744,41
Opole;425172,35;311003,91
