id,name,x_coord,y_coord
0,Bialystok,53.13528,23.14556
1,Bydgoszcz,53.12194,18.00028
2,Gdansk,54.3475,18.64528
3,Gorzow Wielkopolski,52.733,15.25
4,Katowice,50.2625,19.02167
5,Kielce,50.87417,20.63333
6,Krakow,50.06139,19.93722
7,Lodz,51.77694,19.45472
8,Lublin,51.25,22.567
9,Olsztyn,53.77778,20.47917
10,Opole,50.66667,17.92417
11,Poznan,52.40833,16.93361
12,Rzeszow,50.033,22
13,Szczecin,53.4325,14.54806
14,Torun,53.02222,18.61111
15,Warszawa,52.23,21.01111
16,Wroclaw,51.11,17.0325
17,Zielona Gora,51.933,15.5
