,Bialystok,Bydgoszcz,Gdansk,Gorzow Wielkopolski,Katowice,Kielce,Krakow,Lublin,Lodz,Olsztyn,Opole,Poznan,Rzeszow,Szczecin,Torun,Warszawa,Wroclaw,Zielona Gora
Bialystok,0,345,327,510,429,300,408,214,295,200,500,428,350,574,310,177,476,550
Bydgoszcz,345,0,143,280,326,320,366,375,181,250,300,108,450,233,50,226,234,200
Gdansk,327,143,0,350,400,390,430,380,310,150,370,250,500,300,150,280,350,320
Gorzow Wielkopolski,510,280,350,0,380,400,450,500,340,420,340,140,520,80,290,410,300,80
Katowice,429,326,400,380,0,160,72,250,200,450,90,280,180,460,300,290,150,320
Kielce,300,320,390,400,160,0,130,170,140,350,220,340,140,480,310,170,280,380
Krakow,408,366,430,450,72,130,0,250,240,460,160,335,140,530,340,250,270,390
Lublin,214,375,380,500,250,170,250,0,260,340,340,400,170,550,360,150,370,470
Lodz,295,181,310,340,200,140,240,260,0,290,220,170,300,360,140,120,220,280
Olsztyn,200,250,150,420,450,350,460,340,290,0,410,320,410,440,230,190,400,390
Opole,500,300,370,340,90,220,160,340,220,410,0,240,250,420,320,310,100,280
Poznan,428,108,250,140,280,340,335,400,170,320,240,0,420,200,130,280,190,130
Rzeszow,350,450,500,520,180,140,140,170,300,410,250,420,0,600,430,300,320,460
Szczecin,574,233,300,80,460,480,530,550,360,440,420,200,600,0,270,450,420,120
Torun,310,50,150,290,300,310,340,360,140,230,320,130,430,270,0,210,260,230
Warszawa,177,226,280,410,290,170,250,150,120,190,310,280,300,450,210,0,300,370
Wroclaw,476,234,350,300,150,280,270,370,220,400,100,190,320,420,260,300,0,200
Zielona Gora,550,200,320,80,320,380,390,470,280,390,280,130,460,120,230,370,200,0
