$ZONE:NO;To;60028;61000;61200;61400;61600;61800;62000;62200;62301;62400;62600;63000;63400;63600;63800;511167;511230;511930
From;CITY;Warszawa;Kraków;Łódź;Wroclaw;Poznań;Trójmiasto;Szczecin;Bydgoszcz;Toruń;Lublin;Bialystok;Silesia;Kielce;Rzeszów;Olsztyn;Gorzów Wlkp.;Zielona Góra;Opole
60028;Warszawa;0;484;114;401;328;367;693;269;252;219;190;339;202;570;221;580;544;527
61000;Kraków;326;0;358;315;579;999999;999999;999999;1117;519;999999;70;140;160;999999;999999;999999;216
61200;Łódź;111;385;0;272;238;491;482;234;203;999999;345;284;200;1104;425;513;413;360
61400;Wroclaw;394;277;266;0;153;506;382;355;347;999999;790;189;429;999999;516;334;186;67
61600;Poznań;361;649;229;142;0;273;172;140;139;752;733;448;543;1098;333;145;130;249
61800;Trójmiasto;333;999999;448;613;364;0;411;156;229;999999;448;1407;999999;999999;160;352;590;927
62000;Szczecin;549;1615;476;370;170;371;0;291;358;999999;1438;822;804;999999;583;136;176;496
62200;Bydgoszcz;380;999999;242;355;149;132;287;0;69;999999;540;1166;999999;999999;209;233;432;443
62301;Toruń;209;703;206;350;148;220;381;70;0;999999;483;569;804;999999;151;345;339;449
62400;Lublin;223;428;999999;999999;750;999999;999999;999999;999999;0;481;491;999999;229;999999;999999;999999;999999
62600;Bialystok;205;1433;408;707;654;467;1454;1048;670;382;0;999999;999999;1131;276;1578;1373;999999
63000;Silesia;382;69;259;211;392;1128;640;992;552;601;999999;0;222;261;795;644;529;111
63400;Kielce;208;141;190;497;514;999999;1548;999999;846;999999;999999;227;0;337;1580;1676;1467;378
63600;Rzeszów;491;152;1049;999999;1353;999999;999999;999999;999999;231;983;264;293;0;999999;999999;999999;999999
63800;Olsztyn;228;1109;424;564;361;155;501;203;145;999999;280;797;876;999999;0;458;559;644
511167;Gorzów Wlkp.;576;1591;429;340;141;353;151;228;316;999999;1509;727;779;999999;535;0;125;451
511230;Zielona Góra;560;1512;384;165;111;636;178;338;299;999999;1415;545;701;999999;590;124;0;284
511930;Opole;472;213;354;68;255;590;481;425;462;999999;999999;108;382;999999;677;417;303;0
